"source_id","title","year","source_type","evidence_tier","url","version","claim","task_or_dataset","baseline","metric","code_or_data","limitations","papai_relevance","replication_status"
"AM01","Cognitive Architectures for Language Agents","2024","peer_reviewed_paper","E1","https://openreview.net/forum?id=1i6ZCvflQJ","OpenReview:1i6ZCvflQJ; TMLR 2024","Proposes a language-agent architecture organized around working, episodic, semantic, and procedural memory plus explicit memory actions.","Conceptual taxonomy of language agents","not_applicable","not_applicable","https://github.com/ysymyth/awesome-language-agents","It is an organizing framework and survey, not a papai implementation or benchmark.","Defines role vocabulary while leaving prospective scheduling and concrete lifecycle guarantees to this study.","not_run"
"AM02","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context","2019","peer_reviewed_paper","E1","https://aclanthology.org/P19-1285/","ACL Anthology:P19-1285; DOI:10.18653/v1/P19-1285","Introduces segment-level recurrence and relative positional encoding to model dependencies beyond fixed training segments.","Language modeling","fixed-length Transformers","perplexity and bits per character","https://github.com/kimiyoung/transformer-xl","Longer dependency modeling does not provide durable scope, contradiction, retention, or erasure semantics.","Supports treating long context as a bounded working-memory mechanism rather than a complete memory architecture.","not_run"
"AM03","MemGPT: Towards LLMs as Operating Systems","2023","preprint","E2","https://arxiv.org/abs/2310.08560v1","arXiv:2310.08560v1","Frames finite-context management as tiered memory with tool-mediated movement between in-context and external storage.","Deep Memory Retrieval and conversational-agent tasks","fixed-context and retrieval baselines","task-specific accuracy","https://github.com/letta-ai/letta","Preprint evidence; the public project has evolved beyond the frozen paper and is not pinned here.","Motivates explicit context budgeting and memory actions without transferring published results.","not_run"
"AM04","Augmenting Language Models with Long-Term Memory","2023","peer_reviewed_paper","E1","https://proceedings.neurips.cc/paper_files/paper/2023/hash/ebd82705f44793b6f9ade5a669d0f0bf-Abstract-Conference.html","NeurIPS 2023 proceedings:ebd82705f44793b6f9ade5a669d0f0bf","Proposes a frozen backbone with a decoupled side network that retrieves and reads cached long-form memory.","ChapterBreak and memory-augmented in-context learning tasks","long-context language models described in the paper","task-specific language-modeling and downstream metrics","https://github.com/microsoft/unilm/tree/master/longmem","Requires learned model components and its reported results are not comparable to papai's deterministic retrieval track.","Illustrates learned external-memory readers and the boundary between external and parametric memory.","not_run"
"AM05","Generative Agents: Interactive Simulacra of Human Behavior","2023","peer_reviewed_paper","E1","https://doi.org/10.1145/3586183.3606763","DOI:10.1145/3586183.3606763; UIST 2023","Stores observations, retrieves memories using recency, importance, and relevance, and synthesizes higher-level reflections.","Interactive sandbox agents","ablations described in the paper","human evaluation and behavior/task measures","https://github.com/joonspk-research/generative_agents","Its simulated social environment, model prompts, and human evaluations do not establish retrieval quality or safety for papai.","Provides primary design evidence for episodic memory, reflection, and derived summaries.","not_run"
"AM06","Reflexion: Language Agents with Verbal Reinforcement Learning","2023","peer_reviewed_paper","E1","https://proceedings.neurips.cc/paper_files/paper/2023/hash/1b44b878bb782e6954cd888628510e90-Abstract-Conference.html","NeurIPS 2023 proceedings:1b44b878bb782e6954cd888628510e90","Uses verbal feedback and self-reflection stored across trials to adapt agent behavior without updating base-model weights.","Decision-making, reasoning, and coding tasks described in the paper","task-specific agent baselines","task success and task-specific scores","https://github.com/noahshinn/reflexion","Reflections can be incorrect, task feedback differs from user facts, and the paper does not define multi-tenant erasure semantics.","Supports a separately labeled reflective/experience layer rather than promoting reflections to trusted facts.","not_run"
"AM07","A-Mem: Agentic Memory for LLM Agents","2025","peer_reviewed_paper","E1","https://proceedings.neurips.cc/paper_files/paper/2025/hash/19909c36f51abc4856b4560aff3d36d6-Abstract-Conference.html","NeurIPS 2025 proceedings:19909c36f51abc4856b4560aff3d36d6","Proposes dynamically structured notes with contextual attributes, links, and updates to related historical memory representations.","Six foundation-model evaluations described in the paper","memory-system baselines described in the paper","task-specific answer metrics","https://github.com/agiresearch/A-mem","Dynamic linking and revision depend on model extraction; published task results and lifecycle guarantees are not reproduced here.","Informs structured fact/link evolution while highlighting provenance, determinism, and deletion risks.","not_run"
"AM08","Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents","2026","peer_reviewed_paper","E1","https://aclanthology.org/2026.acl-long.981/","ACL Anthology:2026.acl-long.981; DOI:10.18653/v1/2026.acl-long.981","Exposes store, retrieve, update, summarize, and discard as policy actions and trains an agent to choose among them.","Five long-horizon benchmarks described in the paper","memory-augmented baselines described in the paper","task performance and memory/context measures","unknown","Learned policy decisions are not deterministic lifecycle enforcement and the artifact availability was not established in this freeze.","Defines an adaptive-policy research family that remains outside papai's deterministic default comparison.","not_run"
"AM09","Reciprocal Rank Fusion Outperforms Condorcet and Individual Rank Learning Methods","2009","peer_reviewed_paper","E1","https://doi.org/10.1145/1571941.1572114","DOI:10.1145/1571941.1572114; SIGIR 2009","Introduces reciprocal rank fusion for combining result rankings without directly normalizing heterogeneous retrieval scores.","TREC retrieval runs described in the paper","individual and Condorcet-fused rankers","retrieval effectiveness metrics described in the paper","unknown","The paper predates neural retrieval and does not prescribe scope filters, lifecycle checks, or papai-specific fusion constants.","Provides a deterministic candidate for fusing lexical and dense result lists.","not_run"
"AM10","RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval","2024","peer_reviewed_paper","E1","https://openreview.net/forum?id=GN921JHCRw","OpenReview:GN921JHCRw; ICLR 2024","Builds a tree by recursively clustering and summarizing text chunks, then retrieves across levels of abstraction.","NarrativeQA, QASPER, and QuALITY","leaf-only and retrieval baselines described in the paper","task-specific answer metrics","https://github.com/parthsarthi03/raptor","Summaries are model-derived and experiments mix retrievers/readers; deletion propagation and conversational time are not evaluated.","Provides a primary pattern for rebuildable hierarchical summaries with leaf evidence.","not_run"
